inc_before_tax,mo_net_tax_liab_dol_chg_single,mo_net_tax_liab_dol_chg_mar0kids,mo_net_tax_liab_dol_chg_hoh2kids,mo_net_tax_liab_dol_chg_mar2kids
0.0,0.0,0.0,0.0,0.0
20.976913,0.0,0.0,0.0,0.0
41.953827,0.0,0.0,0.0,0.0
62.93074,0.0,0.0,0.0,0.0
83.90765,0.0,0.0,0.0,0.0
104.88457,0.0,0.0,0.0,0.0
125.86148,0.0,0.0,0.0,0.0
146.8384,0.0,0.0,0.0,0.0
167.8153,0.0,0.0,0.0,0.0
188.79222,0.0,0.0,0.0,0.0
209.76913,0.0,0.0,0.0,0.0
230.74605,0.0,0.0,0.0,0.0
251.72296,0.0,0.0,0.0,0.0
272.69986,0.0,0.0,0.0,0.0
293.6768,0.0,0.0,0.0,0.0
314.6537,0.0,0.0,0.0,0.0
335.6306,0.0,0.0,0.0,0.0
356.6075,0.0,0.0,0.0,0.0
377.58444,0.0,0.0,0.0,0.0
398.56134,0.0,0.0,0.0,0.0
419.53827,0.0,0.0,0.0,0.0
440.51517,0.0,0.0,0.0,0.0
461.4921,0.0,0.0,0.0,0.0
482.469,0.0,0.0,0.0,0.0
503.44592,0.0,0.0,0.0,0.0
524.42285,0.0,0.0,0.0,0.0
545.3997,0.0,0.0,0.0,0.0
566.37665,0.0,0.0,0.0,0.0
587.3536,0.0,0.0,0.0,0.0
608.3305,0.0,0.0,0.0,0.0
629.3074,0.0,0.0,0.0,0.0
650.2843,0.0,0.0,0.0,0.0
671.2612,0.0,0.0,0.0,0.0
692.2381,0.0,0.0,0.0,0.0
713.215,0.0,0.0,0.0,0.0
734.19196,0.0,0.0,0.0,0.0
755.1689,0.0,0.0,0.0,0.0
776.14575,0.0,0.0,0.0,0.0
797.1227,0.0,0.0,0.0,0.0
818.0996,0.0,0.0,0.0,0.0
839.07654,0.0,0.0,0.0,0.0
860.0534,0.0,0.0,0.0,0.0
881.03033,0.0,0.0,0.0,0.0
902.00726,0.0,0.0,0.0,0.0
922.9842,0.0,0.0,0.0,0.0
943.96106,0.0,0.0,0.0,0.0
964.938,0.0,0.0,0.0,0.0
985.9149,0.0,0.0,0.0,0.0
1006.89185,0.0,0.0,0.0,0.0
1027.8688,0.0,0.0,0.0,0.0
1048.8457,0.0,0.0,0.0,0.0
1069.8225,0.0,0.0,0.0,0.0
1090.7994,0.0,0.0,0.0,0.0
1111.7764,0.0,0.0,0.0,0.0
1132.7533,0.0,0.0,0.0,0.0
1153.7302,0.0,0.0,0.0,0.0
1174.7072,0.0,0.0,0.0,0.0
1195.6841,0.0,0.0,0.0,0.0
1216.661,0.0,0.0,0.0,0.0
1237.6378,0.0,0.0,0.0,0.0
1258.6147,0.0,0.0,0.0,0.0
1279.5917,0.0,0.0,0.0,0.0
1300.5686,0.0,0.0,0.0,0.0
1321.5455,0.0,0.0,0.0,0.0
1342.5225,0.0,0.0,0.0,0.0
1363.4994,0.0,0.0,0.0,0.0
1384.4762,0.0,0.0,0.0,0.0
1405.4531,0.0,0.0,0.0,0.0
1426.43,0.0,0.0,0.0,0.0
1447.407,0.0,0.0,0.0,0.0
1468.3839,0.0,0.0,0.0,0.0
1489.3608,0.0,0.0,0.0,0.0
1510.3378,0.0,0.0,0.0,0.0
1531.3147,0.0,0.0,0.0,0.0
1552.2915,0.0,0.0,0.0,0.0
1573.2684,0.0,0.0,0.0,0.0
1594.2454,0.0,0.0,0.0,0.0
1615.2223,0.0,0.0,0.0,0.0
1636.1992,0.0,0.0,0.0,0.0
1657.1761,0.0,0.0,0.0,0.0
1678.1531,0.0,0.0,0.0,0.0
1699.13,0.0,0.0,0.0,0.0
1720.1068,0.0,0.0,0.0,0.0
1741.0837,0.0,0.0,0.0,0.0
1762.0607,0.0,0.0,0.0,0.0
1783.0376,0.0,0.0,0.0,0.0
1804.0145,0.0,0.0,0.0,0.0
1824.9915,0.0,0.0,0.0,0.0
1845.9684,0.0,0.0,0.0,0.0
1866.9453,0.0,0.0,0.0,0.0
1887.9221,0.0,0.0,0.0,0.0
1908.899,0.0,0.0,0.0,0.0
1929.876,0.0,0.0,0.0,0.0
1950.8529,0.0,0.0,0.0,0.0
1971.8298,0.0,0.0,0.0,0.0
1992.8068,0.0,0.0,0.0,0.0
2013.7837,0.0,0.0,0.0,0.0
2034.7605,0.0,0.0,0.0,0.0
2055.7375,0.0,0.0,0.0,0.0
2076.7144,0.0,0.0,0.0,0.0
2097.6914,0.0,0.0,0.0,0.0
2118.6682,0.0,0.0,0.0,0.0
2139.645,0.0,0.0,0.0,0.0
2160.622,0.0,0.0,0.0,0.0
2181.5989,0.0,0.0,0.0,0.0
2202.576,0.0,0.0,0.0,0.0
2223.5527,0.0,0.0,0.0,0.0
2244.5298,0.0,0.0,0.0,0.0
2265.5066,0.0,0.0,0.0,0.0
2286.4834,0.0,0.0,0.0,0.0
2307.4604,0.0,0.0,0.0,0.0
2328.4373,0.0,0.0,0.0,0.0
2349.4143,0.0,0.0,0.0,0.0
2370.391,0.0,0.0,0.0,0.0
2391.3682,0.0,0.0,0.0,0.0
2412.345,0.0,0.0,0.0,0.0
2433.322,0.0,0.0,0.0,0.0
2454.2988,0.0,0.0,0.0,0.0
2475.2756,0.0,0.0,0.0,0.0
2496.2527,0.0,0.0,0.0,0.0
2517.2295,0.0,0.0,0.0,0.0
2538.2065,0.0,0.0,0.0,0.0
2559.1833,0.0,0.0,0.0,0.0
2580.1604,0.0,0.0,0.0,0.0
2601.1372,0.0,0.0,0.0,0.0
2622.114,0.0,0.0,0.0,0.0
2643.091,0.0,0.0,0.0,0.0
2664.0679,0.0,0.0,0.0,0.0
2685.045,0.0,0.0,0.0,0.0
2706.0217,0.0,0.0,0.0,0.0
2726.9988,0.0,0.0,0.0,0.0
2747.9756,0.0,0.0,0.0,0.0
2768.9524,0.0,0.0,0.0,0.0
2789.9294,0.0,0.0,0.0,0.0
2810.9062,0.0,0.0,0.0,0.0
2831.8833,0.0,0.0,0.0,0.0
2852.86,0.0,0.0,0.0,0.0
2873.8372,0.0,0.0,0.0,0.0
2894.814,0.0,0.0,0.0,0.0
2915.791,0.0,0.0,0.0,0.0
2936.7678,0.0,0.0,0.0,0.0
2957.7446,0.0,0.0,0.0,0.0
2978.7217,0.0,0.0,0.0,0.0
2999.6985,0.0,0.0,0.0,0.0
3020.6755,0.0,0.0,0.0,0.0
