year,rain_50m_pct,rain_mo_pct,totbal_50m_pct,totbal_mo_pct
2000,4.127,3.9919999999999995,8.767,6.305
2001,4.614,5.847,7.148000000000001,7.257
2002,1.656,6.148,2.887,8.307
2003,0.722,7.245,2.656,10.63
2004,1.844,6.668,5.247,13.993
2005,2.46,6.506,9.017,10.719
2006,4.553,6.9190000000000005,11.802,16.673
2007,4.739,6.822,11.328000000000001,16.384999999999998
2008,4.835,6.902,8.292,17.256
2009,2.7279999999999998,6.628,4.583,9.741
2010,1.638,6.967,4.488,9.411
2011,1.7610000000000001,6.64,6.368,11.606
2012,2.486,6.271,7.9079999999999995,8.841000000000001
2013,3.558,6.287,9.957,11.858
2014,4.5249999999999995,6.645,7.292999999999999,8.899
2015,4.918,6.208,9.203999999999999,9.386999999999999
2016,5.34,6.486,9.74,8.183
2017,5.614,6.458,8.315999999999999,8.292
2018,6.548,6.65,11.725,11.993
2019,7.93,6.827,13.994000000000002,13.682
2020,8.44,7.0809999999999995,12.712000000000002,15.798000000000002
2021,10.288,6.1690000000000005,27.124,30.217
2022,11.484,7.377000000000001,39.507999999999996,54.184
2023,12.6638854,7.1320445999999995,34.9621731,53.165149199999995
2024,14.582,5.8709999999999996,28.869,28.418
2025,12.85,6.053,21.955,22.231
