state,rain_pct,rain_dol,rain_color,totbal_pct,totbal_dol,totbal_color,totbal_rain_pct_dif
Washington,3.5180000000000002,1255100000,#D5AB53,5.915,2110200000,#3477A5,2.397
Illinois,4.306,2347000000,#D5AB53,8.450000000000001,4606000000,#3477A5,4.144000000000001
Rhode Island,5.252,294700000,#D5AB53,8.596,482300000,#3477A5,3.3440000000000003
Maryland,7.932,2184900000,#D5AB53,8.612,2372000000,#3477A5,0.6799999999999997
Indiana,7.8100000000000005,1795400000,#D5AB53,9.322,2143100000,#3477A5,1.5119999999999987
South Dakota,9.325999999999999,242000000,#D5AB53,9.325999999999999,242000000,#3477A5,0.0
Mississippi,9.516,669000000,#D5AB53,9.516,669000000,#3477A5,0.0
New Hampshire,10.317,211500000,#D5AB53,10.317,211500000,#3477A5,0.0
Colorado,11.33,2141100000,#D5AB53,11.33,2141100000,#3477A5,0.0
Utah,9.313,1186600000,#D5AB53,11.347,1445700000,#3477A5,2.033999999999999
North Carolina,11.382,3610000000,#D5AB53,11.533999999999999,3658100000,#3477A5,0.15199999999999925
Virginia,12.994,4749500000,#D5AB53,13.031,4762900000,#3477A5,0.03700000000000081
Louisiana,8.572000000000001,1071000000,#D5AB53,13.569999999999999,1695500000,#3477A5,4.9979999999999976
New Jersey,0.0,0,#D5AB53,13.572000000000001,7790300000,#3477A5,13.572000000000001
Arizona,9.407,1544800000,#D5AB53,14.472,2376600000,#3477A5,5.0649999999999995
Ohio,12.706000000000001,3922300000,#D5AB53,15.174999999999999,4684600000,#3477A5,2.4689999999999976
Connecticut,18.311,4255200000,#D5AB53,18.311,4255200000,#3477A5,0.0
Tennessee,9.272,2150000000,#D5AB53,18.509,4292000000,#3477A5,9.237
Michigan,13.975999999999999,2148600000,#D5AB53,18.67,2870200000,#3477A5,4.694000000000003
Vermont,19.33,458600000,#D5AB53,19.33,458600000,#3477A5,0.0
Florida,7.561,4440500000,#D5AB53,19.454,11425500000,#3477A5,11.893
California,11.851,27500100000,#D5AB53,19.608,45500700000,#3477A5,7.757
Maine,17.565,968300000,#D5AB53,19.975,1101200000,#3477A5,2.41
Minnesota,9.883000000000001,3527400000,#D5AB53,20.366,7269000000,#3477A5,10.482999999999999
Pennsylvania,15.638,7491000000,#D5AB53,21.679000000000002,10385000000,#3477A5,6.041000000000002
Missouri,6.053,955700000,#EED17E,22.231,3510100000,#74AAC7,16.178
Massachusetts,16.017,8227300000,#D5AB53,24.9,12790600000,#3477A5,8.883
Hawaii,13.862,1566800000,#D5AB53,25.824,2918800000,#3477A5,11.962000000000002
Montana,13.778000000000002,521800000,#D5AB53,27.181,1029300000,#3477A5,13.402999999999999
Nebraska,16.025,877200000,#D5AB53,27.439999999999998,1502000000,#3477A5,11.415
Idaho,23.883,1257900000,#D5AB53,28.673,1510200000,#3477A5,4.789999999999999
New Mexico,28.68,3709700000,#D5AB53,28.68,3709700000,#3477A5,0.0
Kentucky,28.034,4545100000,#D5AB53,29.224,4738100000,#3477A5,1.1900000000000013
Wisconsin,9.023,1899000000,#D5AB53,29.301,6166800000,#3477A5,20.278
Oregon,17.322000000000003,2916000000,#D5AB53,32.693,5503500000,#3477A5,15.370999999999995
Arkansas,28.754999999999995,1814900000,#D5AB53,33.17,2093500000,#3477A5,4.415000000000006
Iowa,10.399,929900000,#D5AB53,33.483000000000004,2994200000,#3477A5,23.084000000000003
Kansas,16.195999999999998,1763600000,#D5AB53,35.242000000000004,3837500000,#3477A5,19.046000000000006
Georgia,14.078,5466300000,#D5AB53,35.675000000000004,13851700000,#3477A5,21.597000000000005
South Carolina,10.548,1441600000,#D5AB53,40.703,5562700000,#3477A5,30.155
Delaware,5.008,348700000,#D5AB53,40.966,2852600000,#3477A5,35.958
Alabama ,23.477,3199400000,#D5AB53,41.241,5620300000,#3477A5,17.764
Oklahoma,19.158,2028900000,#D5AB53,43.386,4594700000,#3477A5,24.228
Nevada,19.531000000000002,1243600000,#D5AB53,44.328,2822600000,#3477A5,24.797
New York,8.359,8756000000,#D5AB53,51.035,53456000000,#3477A5,42.675999999999995
Alaska,52.325,2884000000,#D5AB53,52.325,2884000000,#3477A5,0.0
West Virginia,22.769000000000002,1316800000,#D5AB53,52.369,3028700000,#3477A5,29.599999999999998
Texas,28.274,24282300000,#D5AB53,55.944,48046200000,#3477A5,27.67
North Dakota,32.592999999999996,914600000,#D5AB53,63.444,1780300000,#3477A5,30.851000000000006
Wyoming,87.717,1721000000,#D5AB53,87.717,1721000000,#3477A5,0.0
